ProductId,OtherProductId
1,3
1,4
1,7
1,12
3,4
3,7
3,12
3,1
4,1
4,3
4,7
4,12
5,11
5,10
6,3
6,4
6,7
6,12
7,1
7,3
7,4
7,6
7,12
8,3
8,4
8,7
8,12
10,5
10,11
11,5
11,10
12,1
12,3
12,4
12,6
12,7
1,3
1,4
1,7
1,12
3,4
3,7
3,12
3,1
4,1
4,3
4,7
4,12
5,11
5,10
6,3
6,4
6,7
6,12
7,1
7,3
7,4
7,6
7,12
8,3
8,4
8,7
8,12
10,5
10,11
11,5
11,10
12,1
12,3
12,4
12,6
12,7
1,3
1,4
1,7
1,12
3,4
3,7
3,12
3,1
4,1
4,3
4,7
4,12
5,11
5,10
6,3
6,4
6,7
6,12
7,1
7,3
7,4
7,6
7,12
8,3
8,4
8,7
8,12
10,5
10,11
11,5
11,10
12,1
12,3
12,4
12,6
12,7
1,3
1,4
1,7
1,12
3,4
3,7
3,12
3,1
4,1
4,3
4,7
4,12
5,11
5,10
6,3
6,4
6,7
6,12
7,1
7,3
7,4
7,6
7,12
8,3
8,4
8,7
8,12
10,5
10,11
11,5
11,10
12,1
12,3
12,4
12,6
12,7
1,3
1,4
1,7
1,12
3,4
3,7
3,12
3,1
4,1
4,3
4,7
4,12
5,11
5,10
6,3
6,4
6,7
6,12
7,1
7,3
7,4
7,6
7,12
8,3
8,4
8,7
8,12
10,5
10,11
11,5
11,10
12,1
12,3
12,4
12,6
12,7
1,10
1,5
1,6
1,5
1,12
1,8
1,11
1,5
1,5
1,2
1,7
1,10
1,7
1,8
1,11
1,5
1,7
1,9
1,4
1,3
1,7
1,5
1,6
1,2
1,7
1,11
1,11
2,6
2,10
2,4
2,10
2,12
2,5
2,12
2,4
2,3
2,2
2,2
2,5
2,7
2,7
2,4
2,10
2,9
2,11
2,8
2,9
2,3
2,3
2,9
3,6
3,12
3,8
3,6
3,2
3,7
3,2
3,3
3,2
3,6
3,5
3,10
3,1
3,5
3,11
3,2
3,11
3,7
3,11
3,2
3,9
3,5
3,6
3,12
3,8
3,5
3,10
3,10
3,5
3,9
3,5
3,5
3,1
3,4
4,10
4,7
4,7
4,11
4,5
4,7
4,11
4,11
4,11
4,7
4,8
4,10
4,4
4,3
4,8
4,11
4,7
4,4
4,12
4,5
4,7
4,5
4,3
4,1
4,1
4,9
4,12
4,12
4,10
4,12
4,8
4,1
5,4
5,4
5,5
5,8
5,12
5,9
5,1
5,8
5,8
5,3
5,6
5,6
5,9
5,12
5,3
5,6
5,2
5,1
5,2
5,6
5,5
5,10
5,3
5,3
5,8
5,12
5,12
5,2
5,8
5,9
6,1
6,1
6,7
6,12
6,3
6,5
6,6
6,2
6,8
6,11
6,7
6,3
6,8
6,6
6,8
6,4
7,6
7,11
7,7
7,8
7,9
7,4
7,12
7,2
7,12
7,6
7,9
7,2
7,8
7,8
7,11
7,4
7,12
7,4
7,2
7,4
7,7
7,11
7,4
7,2
7,12
7,4
7,1
7,11
7,7
7,6
7,3
7,7
7,5
7,1
7,8
7,10
7,2
7,12
7,12
7,2
7,2
7,9
7,6
7,2
8,6
8,4
8,3
8,11
8,1
8,12
8,2
8,6
8,1
8,4
8,9
8,10
8,12
8,1
8,8
8,8
8,10
8,10
8,2
8,10
8,11
8,4
8,7
8,10
8,2
8,8
8,1
8,5
8,6
8,11
8,1
8,7
8,2
8,4
8,8
8,7
8,5
8,2
8,8
8,7
8,10
8,9
8,7
8,7
8,1
9,4
9,2
9,10
9,7
9,3
9,8
9,11
9,11
9,12
9,4
9,6
9,8
9,2
9,9
9,5
9,2
9,12
9,2
9,1
9,12
9,10
9,4
9,4
9,1
9,2
9,7
9,9
9,12
9,6
9,10
9,6
9,7
9,5
9,4
9,2
9,10
9,3
9,10
9,11
9,9
9,3
9,5
9,9
9,8
9,1
9,11
9,2
9,4
9,7
9,9
9,9
9,8
9,6
9,3
9,1
9,10
9,6
9,4
9,10
9,2
9,5
9,6
9,11
9,2
9,5
9,3
9,11
10,2
10,8
10,1
10,7
10,4
10,5
10,4
10,12
10,1
10,9
10,9
10,5
10,4
10,7
10,1
10,5
10,7
10,5
10,12
10,6
10,8
10,5
10,3
10,5
10,3
10,12
10,4
10,4
10,10
10,10
10,10
10,11
10,2
10,9
10,11
10,8
10,4
10,4
10,4
10,11
10,6
10,4
10,1
10,12
10,1
10,11
10,12
10,7
10,12
10,6
10,9
10,11
10,3
10,2
10,11
10,4
10,3
11,5
11,9
11,5
11,10
11,11
11,4
11,7
11,12
11,12
11,8
11,10
11,6
11,8
11,1
11,1
11,1
11,2
11,6
11,9
11,11
11,4
11,7
11,1
11,3
11,7
11,3
11,9
11,3
11,5
11,4
11,5
11,11
11,3
11,2
11,10
11,1
11,7
11,12
11,11
11,9
11,7
11,12
11,7
11,5
11,3
11,3
11,3
11,9
11,8
11,9
11,3
11,8
11,5
11,3
11,5
11,6
11,9
11,4
11,3
11,6
11,2
11,6
12,7
12,2
12,4
12,9
12,4
12,11
12,6
12,12
12,1
12,5
12,8
12,6
12,12
12,3
12,8
12,5
12,5
12,7
12,1
12,3
12,6
12,11
12,9
12,7
12,12
12,6
12,2
12,9
12,5
12,1
12,11
12,12
12,5
12,11
12,5
12,9
12,4
12,10
12,10
12,12
12,7
12,9
12,1
12,5
12,2
12,11
12,8
12,12
12,4
12,12
12,3
12,11
12,11
12,10
12,3
12,2
12,8
12,3
12,7
12,5
12,8
12,7
12,2
12,11
12,2
12,1
12,9
12,3
12,6
12,4
12,11
12,3
12,8
12,4
12,7
12,1
12,11
12,1
12,11
12,2
12,4
12,11
12,10
12,2
12,9
12,7
12,8
12,1
12,12
